id,start,end,text,emotions,situation,situation_type
1738,10533.36,10537.331,"Maybe he was pretending.
Maybe he was behind the whole thing.","['concern', 'surprise']",Character suspects someone of deception,Suspicion
1739,10537.88,10540.201,And that promotion he got you -,['pride'],Someone is recalling a past event where another person was promoted,nostalgia
1740,10540.32,10542.129,You women!,['authority'],Addressing a group of women,Social interaction
1741,10542.88,10545.69,"You know nothing
about friendship between men!",['incredulity'],A character is expressing disbelief about someone's understanding of male relationships.,social interaction
1742,10546.04,10549.249,"What are you good for
besides being suspicious?","['concern', 'caution']",Accusation and questioning someone's abilities,Conflict
1743,10640.92,10643.366,"It's been tough enough
for us already.",['concern'],Expressing difficulties faced,Life struggles
1744,10647.68,10651.241,"You and the kids
are all I have left.","['love', 'concern']",The speaker is expressing the importance of their family after a loss.,Personal Loss
1745,10659.08,10661.321,Please don't frighten me anymore.,['concern'],A person is asking another to stop scaring them.,Request
1746,10676.76,10679.366,We only have each other now.,"['love', 'concern']",The characters are left alone and are acknowledging their dependence on each other.,isolation
1747,10682.44,10686.161,"If you're not afraid,
then I won't be.","['determination', 'protectiveness']",The speaker is trying to reassure someone and be brave for them.,Supportive
1748,10754.44,10756.966,"What's the matter, Tiger?",['concern'],Someone is checking on someone else's well-being,Social Interaction
1749,10763.56,10765.483,"Come on, speak up.","['authority', 'caution']",A person is being told to speak their mind,directive
1750,10782.8,10785.246,<i>You should at least talk to him.</i>,['concern'],Advice to talk to someone,Advising
1751,10788.24,10791.164,"You worried
he'll try to get back at you?",['concern'],Someone is worried about someone else getting revenge,Worry about someone's intentions
1752,10791.32,10792.81,He won't.,['concern'],Someone is expressing doubt about someone else's abilities,Interpersonal
1753,10794.24,10796.163,It's over.,['relief'],Someone announces the end of something,announcement
1754,10796.48,10798.323,"Let's drop him, okay?",['concern'],Suggesting to leave someone behind due to potential danger,Crisis
1755,10803.36,10805.84,"How come you never
told me about him?","['concern', 'curiosity']",Questioning someone about a hidden secret,Confrontation
1756,10807.32,10809.402,What's there to tell?,"['neutral', 'curiosity']",A person is asked about something and responds with a question.,query
1757,10810.16,10812.162,Lots of guys have ideas about me.,['curiosity'],The speaker is aware of others' opinions about them.,self-awareness
1758,10812.36,10815.011,Haven't you heard enough?,"['concern', 'caution']",Someone is trying to stop another person from continuing a conversation.,Conflict
1759,10818.2,10821.329,"Take the young doctor,
for example.",['curiosity'],Someone is being referred to as an example for unknown reasons,explanation
1760,10822.52,10824.522,Couldn't you tell?,['curiosity'],Someone is asking if the other person noticed something.,question
1761,10827.24,10831.131,"How do you feel
when I tell you these things?",['curiosity'],Asking about the other person's feelings,personal
1762,10833.28,10836.17,Can't you just ignore them?,['concern'],Someone is suggesting to disregard others,advice
1763,10837.76,10841.481,"You can't ask others to do
what you think is right.","['authority', 'seriousness']",Advice on personal responsibility,Moral guidance
1764,10862.48,10864.801,People will look down on you.,['concern'],Someone is warning about the consequences of an action,Warning
1765,10867.28,10870.329,You mean you'll look down on me.,['concern'],The speaker is worried about being judged or looked down upon.,Social interaction
1766,10895.16,10897.367,Who's there?,['curiosity'],Someone is asking who is at the door,query
1767,10899.04,10901.361,"Lao Er, Si'r, get up!","['authority', 'concern']",A person is waking up others,daily life
1768,10901.48,10903.209,There's a thief!,"['concern', 'caution']",someone alerts others about a thief, warning
1769,10905.92,10908.082,"Lao Er, get up, hurry!","['urgency', 'concern']",Someone is telling Lao Er to get up quickly,instruction
1770,10908.44,10910.169,Lao Er!,['affection'],A character is calling out to a loved one.,greeting
1771,10910.44,10913.284,"See if the front door's
been opened. Hurry!",[],unknown,unknown
1772,10916.44,10918.124,The front door's fine.,"['relief', 'calm']",A person checks the front door and finds it's okay., Domestic situation
1773,10918.24,10919.446,You sure?,['concern'],Someone is asking for confirmation about something,query
1774,10919.6,10920.931,Yes.,['neutral'],Responding to a question,conversation
1775,10921.08,10922.65,Take this!,"['determination', 'authority']","A character gives something to another character, possibly in a moment of defiance",Confrontation
1776,10924.8,10926.45,He's hiding.,"['concern', 'caution']",Someone is suspected to be hiding,Suspicion
1777,10927.08,10928.366,He's hiding outside.,"['concern', 'caution']",Someone is hiding outside and it's a cause for concern.,Suspense
1778,10928.52,10931.808,"Impossible!
Check the roof!","['surprise', 'incredulity']","Someone is alerted to check the roof, possibly due to an unexpected event",Alert
1779,10931.96,10934.167,"- Get the flashlight.
- Where is it?",['concern'],Looking for a flashlight in a potentially dangerous situation,Problem
1780,10934.28,10935.441,Hurry!,"['urgency', 'concern']",Someone is telling another person to hurry up.,Instruction
1781,10935.56,10938.291,"- Where is it?
- In the kitchen drawer. Hurry!","['urgency', 'concern']",Character asks where something is and is told to hurry,Request
1782,10938.4,10940.323,I can't find it.,['concern'],The speaker is unable to locate something.,Problem/Obstacle
1783,10940.44,10943.011,Why don't you turn on some lights?,[],unknown,unknown
1784,10943.48,10946.927,"What's with all the noise?
I'm trying to sleep!","['concern', 'caution']",arguing about noise,conflict
1785,10953.6,10956.365,He's hiding under the bed.,[],unknown,unknown
1786,10958.68,10962.48,"He was standing right here
and then suddenly vanished!","['surprise', 'incredulity']",unexpected event,plot twist
1787,10965.84,10968.32,"It can't be!
I saw him right here!","['incredulity', 'surprise']",someone denies the disappearance of someone else,conflict
1788,10968.44,10970.522,How could he just vanish?,"['incredulity', 'concern']",character's unexpected disappearance,mystery
1789,10970.84,10972.968,He couldn't have gotten away!,['incredulity'],Someone is expressing disbelief that someone else escaped,reaction
1790,10995.2,10998.807,"Let her rest for now.
Everything's under control.","['calm', 'authority']","A character tells another to let someone rest, assuring them that everything is under control.",Reassurance
1791,11002.76,11005.206,"Luckily you rushed her over
in time.",['relief'],A person is expressing gratitude for timely medical attention,medical emergency
1792,11006.24,11009.005,"Didn't I warn her
about charcoal smoke?","['concern', 'authority']","A person is recalling a warning they gave to someone about charcoal smoke, implying a potential danger.",Recollection
1793,11017.64,11021.087,"Since ancient times
the Chinese have loved camellias",['love'],Talking about the history of Chinese affection towards camellias,nostalgia
1794,11021.2,11024.488,"for their elegance
and refined beauty.",['awe'],describing something beautiful,aesthetic appreciation
1795,11028.28,11030.567,"The kids used
to play around here",['nostalgia'],The speaker is reminiscing about the past,reflection
1796,11030.72,11033.246,"and pick the flowers
when they were little.",['nostalgia'],Reminiscing about the past,Flashback
1797,11035.24,11038.881,"This reminds me
of your grandfather.",['nostalgia'],"A character mentions a past figure, evoking a sense of nostalgia.",Reminiscence
1798,11039.12,11043.523,"The blossoms bring back
happy memories of him.",['nostalgia'],A character reminisces about the past,reflection
1799,11070.16,11072.288,Who's that lady?,['curiosity'],Asking about an unknown person,Query
1800,11074.4,11076.289,You mean Hsiang-Ii?,['curiosity'],Asking for clarification about someone's name,conversation
1801,11076.84,11079.241,"We're getting married
in September.","['joy', 'love', 'excitement', 'anticipation']",A couple announces their wedding date,Personal news
1802,11086.24,11088.083,I don't like her.,[],Expressing dislike towards someone,opinion
1803,11088.28,11090.089,She's strange.,"['curiosity', 'incredulity']",A character expresses a opinion about someone's unusual behavior,judgment
1804,11091.44,11095.126,"There's no love between you.
She's not for you.",['concern'],A person is being told that they don't have a romantic connection with someone.,romantic_rejection
1805,11100.68,11103.331,"You kids don't understand
such things.",['concern'],An adult is telling kids they don't understand something.,admonition
1806,11105.76,11109.207,"You don't have to say anything
if you don't want to.","['calm', 'neutral']",A character is giving another character permission to remain silent.,social interaction
1807,11112.92,11115.4,"Why do you think
I don't understand?","['curiosity', 'incredulity']",Asking for clarification,Inquiry
1808,11120.32,11123.085,Love isn't fun and games.,['seriousness'],The speaker is expressing a realistic view about relationships.,romantic
1809,11126.28,11128.567,"Lots of guys say they love me,",['love'],speaker claims many people express romantic interest,romantic declaration
1810,11128.96,11130.45,but...,['caution'],a character is hesitant or uncertain,uncertainty
1811,11132.44,11135.842,"the minute there's trouble,
they all run away.","['concern', 'caution']",Expressing distrust towards others in times of need,Social Commentary
1812,11142.8,11144.689,"If you're troubled about something,",['concern'],Someone is offering help or advice,Supportive conversation
1813,11144.84,11147.366,"you must tell me
before I can help you.","['concern', 'authority']",A character demands information to provide assistance.,Demand
1814,11157.36,11159.362,I won't tell you.,"['caution', 'concern']",A person is hesitant to share information.,conflict
1815,11159.72,11163.361,"You wouldn't tell me, right?","['concern', 'caution']",Asking someone if they would keep a secret,Trust
1816,11169.88,11173.441,"Don't worry about
your mother's medical expenses.",['relief'],Reassuring someone about a financial concern,Comforting
1817,11173.72,11177.088,"We're too close
to worry about such things.",['caution'],characters are too close to a situation to worry about details,Warning
1818,11189.56,11191.801,Still don't want to tell me?,"['concern', 'caution']",Two people are having a tense conversation.,Confrontation
1819,11200.88,11202.405,<i>Zhang Zhen.</i>,['respect'],Addressing someone with respect,social interaction
1820,11202.56,11204.562,<i>Come here a minute.</i>,"['curiosity', 'authority']",A person is being called over,command
1821,11214.08,11216.526,<i>This is for your own good.</i>,"['concern', 'authority']",One person is trying to justify their actions to another person.,Conflict
1822,11218.32,11220.368,"<i>I don't mean to pry,</i>",['curiosity'],The speaker is asking a question they know might be personal,inquiry
1823,11220.52,11224.081,"<i>but for a love affair at your age,
you need good advice.</i>","['concern', 'affection']",An older person is being cautioned about having a romantic affair.,advice
1824,11226.72,11229.041,"Behaving like a hooligan, huh?","['curiosity', 'concern']",scolding someone for their behavior,reprimand
1825,11229.16,11232.846,"Stand up straight
when the doctor's talking!",['authority'],A person is being told to show respect to a doctor.,instruction
1826,11234.28,11236.282,Motherfucking bitch.,[],Insult,Conflict
1827,11236.4,11239.244,"What are you?
The secret police?","['surprise', 'incredulity']",Someone is asked about their identity and occupation,Interrogation
1828,11244.24,11245.924,What did you just say?,"['surprise', 'incredulity']",A character asks for clarification on something they didn't understand.,conflict
1829,11246.04,11248.691,"Say that again.
What did you say?","['surprise', 'incredulity']",Someone asks for clarification after hearing something surprising or unbelievable.,Conversation
1830,11248.84,11250.49,I said you're the secret police.,"['authority', 'concern']",Accusing someone of being a secret police,Conflict
1831,11250.6,11253.763,"Before that.
About my mother.",['nostalgia'],character starts talking about their mother,personal history
1832,11253.88,11256.281,"Try saying it again!
- Fucking bitch!","['incredulity', 'surprise']",A character is shocked and angry at someone's response,Conflict
1833,11256.44,11259.125,<i>What's going on?</i>,"['curiosity', 'concern']",Character is asking about the current situation,inquiry
1834,11259.88,11261.291,What's this here?,['curiosity'],A character inquires about an unknown object or situation,inquiry
1835,11261.4,11264.643,"Your students act
like a bunch of hooligans.",['concern'],A teacher is addressing a class with a negative tone.,Criticism
1836,11264.76,11267.127,Foul-mouthed and violent!,['concern'],Describing someone's character,Character description
1837,11267.24,11270.323,"Dating girls and messing around
with relationships!","['amusement', 'excitement']",Boasting about dating and relationships,Personal life
1838,11270.48,11272.323,"- Mind your own fucking business!
- Zhang Zhen!","['authority', 'concern']",A person is telling someone to mind their own business and is addressing them by name.,Conflict
1839,11272.44,11274.363,To the conduct office!,['authority'],A character is directing someone to the conduct office.,directive
1840,11274.48,11276.482,Big deal! Who cares?,['incredulity'],Responding to someone's concern,Defensive
1841,11281.64,11284.291,"You had some harsh words
about us last time.",['concern'],Someone is being confronted about their past criticism,Confrontation
1842,11284.4,11286.164,"What about
your parental guidance?",['concern'],A character is asking about someone's parental guidance.,question
1843,11286.28,11289.09,"<i>Such foul language!
Even I was embarrassed.</i>","['surprise', 'incredulity', 'embarrassment']",Reacting to someone's foul language,social interaction
1844,11291.04,11294.442,"You parents don't do your job
and then blame it on us.","['concern', 'caution']",A person expresses frustration towards their parents' lack of responsibility,Conflict
1845,11294.56,11296.483,You have some nerve!,"['incredulity', 'concern']",Someone is being confronted about their audacity,confrontation
1846,11300.28,11302.601,Please give him another chance.,['concern'],Pleading for someone to give someone else another chance,Request
1847,11302.72,11304.324,Too late!,"['concern', 'seriousness']",Expressing urgency and worry,Warning
1848,11305.28,11309.285,"He's fallen this far already.
If we don't punish him properly,","['concern', 'caution']",Discussing consequences for someone's actions,Warning/Discussion
1849,11309.92,11312.89,"you'll blame us again
for not doing our job.","['concern', 'caution']",Defending oneself against potential blame,Conflict
1850,11313.32,11316.369,"I don't want to be
responsible for that.","['concern', 'caution']",Someone is hesitant to take responsibility for something.,Avoidance
1851,11317.12,11318.804,It was my negligence.,['concern'],The speaker is taking responsibility for a mistake.,apology
1852,11319.44,11321.522,Kids sometimes lose their heads.,['concern'],Warning about kids being careless,advice
1853,11322.16,11324.527,Please excuse him just this once.,['concern'],Asking for forgiveness or mercy for someone,Request
1854,11326.56,11328.688,"If he gets
another demerit for this,","['concern', 'caution']",Warning about potential consequences,Warning
1855,11328.8,11331.565,"he can't move on
to the next grade.",['concern'],A student is struggling in school.,academic
1856,11333.2,11335.043,That would be...,['neutrality'],A character responding to a question or statement with a vague or hesitant tone.,response
1857,11336.0,11338.082,too unfair to him.,['concern'],expressing sympathy for someone who is being treated unfairly,social interaction
1858,11338.84,11342.242,"Unfair? Didn't you think
we were unfair last time?","['concern', 'incredulity']","A character is questioning the fairness of a situation, possibly in a past event.",Conflict
1859,11342.36,11346.046,"Didn't you say
you didn't care about demerits?","['concern', 'caution']",A person is questioning someone's previous statement about not caring about demerits.,Conflict
1860,11347.08,11349.082,How come you care now?,"['concern', 'curiosity']",A character questions another's sudden interest in their well-being,Conflict
1861,11351.24,11354.084,"We all work
for the same government.",['authority'],A character states that they all work for the same government.,declaration
1862,11354.2,11356.328,"What makes you
so high and mighty?","['curiosity', 'concern']",A character questions another's arrogance.,confrontation
1863,11385.6,11387.967,"<i>Mr. Zhang, buy some buns!</i>",['excitement'],A person is enthusiastically asking Mr. Zhang to buy some buns,request
1864,11390.44,11392.522,"What's wrong?
In a bad mood?",['concern'],Someone is asking if the other person is in a bad mood,query
1865,11392.64,11394.244,Don't worry!,[],unknown,unknown
1866,11395.48,11398.086,The sun will rise again tomorrow.,"['relief', 'anticipation']",A character is comforting themselves or others about the future,comfort
1867,11398.24,11401.528,"A lively soul is never
stifled by a fart, right?",['amusement'],A person makes a humorous comment about farts,social_interaction
1868,11403.24,11405.163,Dumplings and buns!,"['excitement', 'joy']",Someone expresses enthusiasm for a type of food,Food-related
1869,11406.08,11409.801,"Don't worry, Dad.
Getting expelled isn't that bad.","['calm', 'concern']",Reassuring a worried parent about getting expelled,Reassurance
1870,11410.52,11413.33,"This way I can take
the transfer exam this summer.","['determination', 'anticipation']",Character wants to take a transfer exam,Academic
1871,11413.44,11415.807,I'll get into day school for you.,['determination'],A person is promising to get into a school.,commitment
1872,11419.08,11421.606,"Don't worry about me, Dad.","['concern', 'calm']",A child reassures their father,family interaction
1873,11423.0,11425.287,I remember everything you said.,['nostalgia'],The speaker is recalling a past conversation.,memory
1874,11425.84,11428.127,I'll always listen to you.,"['love', 'affection']",A person promises to always be there for someone they care about.,Relationship
1875,11431.12,11434.567,"I remember you said
one's own future",['nostalgia'],Character reminiscing about a past conversation,reflection
1876,11434.68,11437.331,"can be determined
by one's own efforts.","['determination', 'confidence']",Believing in one's own abilities.,motivational
1877,11442.04,11446.09,"I hit him with the bat
because he went too far,","['determination', 'concern']",Defending oneself from someone who crossed a boundary,Confrontation
1878,11446.64,11448.688,just like last time when you -,['nostalgia'],A character is reminiscing about a shared experience,past event
1879,11459.24,11461.242,"If I quit smoking,",['anticipation'],Considering quitting smoking,personal struggle
1880,11461.64,11464.166,the money I save every month...,['pride'],Character is proud of their financial discipline,Personal Finance
1881,11465.76,11467.967,"will be enough
to buy you glasses",['affection'],A person is offering to buy someone glasses.,offering help
1882,11468.36,11470.249,on the installment plan.,['neutral'],A character mentions a payment plan.,financial
1883,11478.0,11480.844,"So when will we see
each other again?",['anticipation'],Two people discuss their future meetings,Social Interaction
1884,11483.52,11485.921,"Not until I've taken
the transfer exams.",['determination'],Character is determined to take the transfer exams,Academic
1885,11486.8,11489.644,"You can always come
to school to see me.",['affection'],An offer of support and comfort,Comfort and Support
1886,11490.68,11495.242,"Next time I enter the school gate,
<i>I'll</i> be a day school student.","['anticipation', 'excitement']",The speaker is looking forward to a new experience at school,Personal Growth
1887,11496.72,11500.52,"Sounds like Honey when he said
he was going back to Tainan.",['nostalgia'],Character reminisces about someone's words,Reminiscence
1888,11501.36,11503.249,You're not happy.,['concern'],Someone is expressing concern about another person's emotional state,Emotional Inquiry
1889,11507.04,11508.963,I'll be worried about you.,['concern'],One person is expressing worry for another's well-being.,Caring
1890,11509.84,11511.888,Don't be silly. Study hard.,[],unknown,unknown
1891,11512.36,11514.362,I'm behind you all the way.,"['support', 'confidence']",A character is expressing their unwavering support for another character.,Supportive
1892,11515.0,11517.606,"But let's not go today, okay?",['caution'],Declining an invitation or postponing an activity,Social Interaction
1893,11518.2,11520.123,Everything's all arranged.,"['relief', 'confidence']",The character has made all the necessary preparations.,Planning
1894,11520.72,11523.564,"Plus Cat and Airplane
are both invited.",['joy'],Someone is invited to an event,Social
1895,11532.36,11535.682,"Oh, dear!
Our servant has quit.","['surprise', 'concern']",The servant has quit.,bad news
1896,11536.0,11538.924,"Sorry I didn't come out
earlier to say hello.","['apology', 'concern']",Apologizing for not greeting someone earlier,Social Interaction
1897,11539.44,11542.569,"Don't worry.
We'll help ourselves.","['determination', 'confidence']","A character is reassuring someone not to worry, implying they will take care of themselves.",Reassurance
1898,11542.96,11544.769,Is this your classmate?,['curiosity'],Asking about someone's acquaintance,casual conversation
1899,11544.88,11546.45,She's so pretty.,['admiration'],A character comments on someone's physical appearance,social interaction
1900,11547.0,11550.243,"When I was carrying him,
I wanted a girl.",['nostalgia'],A character reflects on their past experience with their child,Personal Reflection
1901,11550.4,11552.243,Look how big he is now.,"['pride', 'nostalgia']","A person comments on the growth of someone, likely a child.",Personal observation
1902,11552.36,11554.124,There you go again!,['amusement'],A character playfully reacts to someone's behavior.,lighthearted moment
1903,11554.28,11557.011,Take your feet off the table.,['authority'],Someone is being told to stop doing something impolite.,instruction
1904,11557.52,11559.887,Where are the others?,['concern'],Asking about the whereabouts of others,inquiry
1905,11560.36,11562.806,"<i>- Range?
- 700 yards.</i>",[],The speaker gives the range of something.,Information exchange
1906,11563.52,11565.648,"<i>- How many?
- A platoon.</i>",[],unknown,unknown
1907,11566.2,11568.043,<i>Too far. It won't reach.</i>,['concern'],Someone expresses doubt about an object's ability to reach a target.,Warning
1908,11568.2,11569.85,<i>Use mine.</i>,['protectiveness'],One person offers to help another person.,support
1909,11572.2,11573.884,<i>Shit! They've got tanks!</i>,"['concern', 'surprise']",The character is reacting to a sudden threat.,battle
1910,11574.04,11576.281,"<i>It's okay.
We've got grenades.</i>",[],unknown,unknown
1911,11578.24,11580.004,Who goes there? Password!,"['authority', 'caution']",A guard demands to know who is approaching and asks for a password.,Challenge/Confrontation
1912,11580.12,11582.964,"Commie woman.
Hands up.","['caution', 'concern']",A character is being addressed in a tense situation,Conflict
1913,11583.12,11585.805,"- What are you doing?
- Girls aren't into this stuff.",['concern'],"A person inquires about another's activity, and the other expresses doubt about the activity's appeal to girls.",social interaction
1914,11585.96,11588.247,Stay back!,"['caution', 'concern']",Warning someone to stay back,Warning
1915,11596.52,11599.49,"Cheer up, will you?",['concern'],Someone is trying to console another person.,Comforting
1916,11599.88,11602.247,"Doesn't my thoughtfulness
mean anything?",['concern'],The speaker is expressing their feelings of thoughtfulness and seeking validation.,Relationship
1917,11603.32,11605.641,"Getting expelled from school
is no big deal.",['neutral'],downplaying the severity of getting expelled,nonchalant attitude
1918,11605.8,11608.485,"You don't even look
after your own girlfriend.",['concern'],Accusation of neglect,Conflict
